LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,Condition,Price
20200,80600,0.19,990,0,0,1,0,0,3,1,1,41.9,0,Good,91314
22000,121300,0.27,1182,0,520,1,2,0,4,2,1,34.9,0,Good,140407
20000,57500,0.39,963,0,221,1,0,0,2,4,1,68.9,0,Good,88859
16200,105500,0.2,834,0,226,1,0,0,3,2,1,37,0,Good,121948
21100,87400,0.18,864,0,624,1,0,0,3,2,1,38.7,0,Good,78759
21300,128600,0.26,960,960,240,2,0,1,3,4,1,21,0,Good,135000
22200,102500,0.17,1152,0,124,1,0,0,4,3,1,36.7,0,Good,128695
20100,119000,0.22,1144,0,266,2,0,0,2,2,1,16,0,Good,119788
18200,122100,0.17,1012,500,120,1,1,1,3,2,1,23.9,0,Average,126956
18300,106400,0.17,894,300,100,1,0,1,3,2,1,25.8,0,Good,135498
19600,38000,0.23,504,0,0,1,0,0,1,3,0,59.8,0,Good,59403
31900,145500,0.36,1040,500,196,2,1,1,4,2,1,30.9,528,Good,161910
33900,230800,0.27,1873,1400,168,2,1,1,3,6,1,10,768,Average,300000
18400,124200,0.26,1224,563,120,2,0,1,3,2,1,42.8,720,Good,136480
22100,153800,0.3,2768,150,0,1,1,1,3,2,1,46.8,0,Good,186555
24100,139200,0.31,2269,0,0,3,0,1,3,3,1,50.8,572,Good,182137
17800,49800,0.16,944,0,0,1,0,0,2,3,1,84.7,0,Average,73168
62800,55100,5.57,1040,0,0,1,0,0,1,3,1,54.7,0,Average,105944
17600,89800,0.22,876,0,0,1,0,0,2,2,1,47.9,308,Good,88368
38700,118700,0.81,1714,200,0,1,1,1,3,3,1,47.8,0,Good,181646
20100,79600,0.21,1233,0,0,1,0,0,2,3,1,84.4,0,Good,94469
15200,97700,0.26,1614,0,0,1,0,1,3,3,1,53.6,0,Good,134961
13400,64700,0.18,667,0,192,1,0,0,2,2,0,53.4,0,Good,84450
20000,84900,0.21,1136,200,0,1,0,0,2,3,1,55.1,0,Good,122000
27000,133100,0.26,1410,672,0,2,1,1,4,2,1,37.4,0,Good,138364
25200,141600,0.24,1507,756,0,2,1,1,3,3,1,35.6,44,Good,173521
